secCode,secName,title,date,url,announcementId,keyword
000001,平安银行,平安银行：拟续聘2025年度会计师事务所的公告,2025-03-15,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806508.PDF,1222806508,会计师事务所
000001,平安银行,平安银行：董事会审计委员会对会计师事务所履行监督职责情况报告,2025-03-15,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806520.PDF,1222806520,会计师事务所
000001,平安银行,平安银行：对会计师事务所履职情况评估报告,2025-03-15,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806512.PDF,1222806512,会计师事务所
000002,万  科Ａ,万科A：审计委员会对会计师事务所2024年度履职情况评估及履行监督职责情况报告,2025-04-01,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974121.PDF,1222974121,会计师事务所
000002,万  科Ａ,万科A：关于拟变更会计师事务所的公告,2025-04-30,http://static.cninfo.com.cn/finalpage/2025-04-30/1223413291.PDF,1223413291,会计师事务所
000004,国华网安,国华网安：关于审计机构变更项目质量控制复核人的公告,2025-01-08,http://static.cninfo.com.cn/finalpage/2025-01-08/1222258651.PDF,1222258651,审计机构
000004,国华网安,国华网安：会计师事务所2024年度履职情况评估报告暨审计委员会履行监督职责情况报告,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223381896.PDF,1223381896,会计师事务所
000006,深振业Ａ,深振业Ａ：董事会审计与风险委员会对立信会计师事务所（特殊普通合伙）履行监督职责情况报告,2025-04-26,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309105.PDF,1223309105,会计师事务所
000006,深振业Ａ,深振业Ａ：董事会审计与风险委员会对立信会计师事务所（特殊普通合伙）2024年度履职情况的评估报告,2025-04-26,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309114.PDF,1223309114,会计师事务所
000007,全新好,全新好：深圳市全新好股份有限公司关于变更签字注册会计师及项目质量复核人的公告,2025-02-13,http://static.cninfo.com.cn/finalpage/2025-02-13/1222523290.PDF,1222523290,会计师
000009,中国宝安,中国宝安：董事局审计委员会对会计师事务所2024年度履职情况评估及履行监督职责情况报告,2025-04-16,http://static.cninfo.com.cn/finalpage/2025-04-16/1223101069.PDF,1223101069,会计事务所
000009,中国宝安,中国宝安：关于拟续聘会计师事务所的公告,2025-06-10,http://static.cninfo.com.cn/finalpage/2025-06-10/1223825071.PDF,1223825071,会计师事务所
000010,美丽生态,美丽生态：董事会对会计师事务所2024年度履职情况评估及审计委员会履行监督职责情况的报告,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223368923.PDF,1223368923,会计事务所
000011,深物业A,深物业A：关于续聘会计师事务所的公告,2025-03-29,http://static.cninfo.com.cn/finalpage/2025-03-29/1222946151.PDF,1222946151,会计师事务所
000011,深物业A,深物业A：董事会审计、风险与合规管理委员会对会计师事务所履行监督职责情况报告,2025-03-29,http://static.cninfo.com.cn/finalpage/2025-03-29/1222946141.PDF,1222946141,会计师事务所
000011,深物业A,深物业A：董事会审计、风险与合规管理委员会对会计师事务所履职情况评估报告,2025-03-29,http://static.cninfo.com.cn/finalpage/2025-03-29/1222946127.PDF,1222946127,会计师事务所
000012,南  玻Ａ,南  玻Ａ：关于审计委员会对会计师事务所履行监督职责情况报告,2025-04-28,http://static.cninfo.com.cn/finalpage/2025-04-28/1223303875.PDF,1223303875,会计师事务所
000012,南  玻Ａ,南  玻Ａ：关于会计师事务所2024年度履职情况评估报告,2025-04-28,http://static.cninfo.com.cn/finalpage/2025-04-28/1223303971.PDF,1223303971,会计师事务所
000014,沙河股份,沙河股份：关于变更签字注册会计师的公告,2025-02-13,http://static.cninfo.com.cn/finalpage/2025-02-13/1222523624.PDF,1222523624,会计师
000014,沙河股份,沙河股份：审计委员会对会计师事务所2024年度履职情况评估及履行监督职责情况的报告,2025-03-29,http://static.cninfo.com.cn/finalpage/2025-03-29/1222943278.PDF,1222943278,会计事务所
000016,深康佳Ａ,深康佳Ａ：董事局财务审计委员会关于会计师事务所2024年度履行监督职责情况报告,2025-04-15,http://static.cninfo.com.cn/finalpage/2025-04-15/1223095833.PDF,1223095833,会计师事务所
000016,深康佳Ａ,深康佳Ａ：2024年度年审会计师事务所履职情况评估报告,2025-04-15,http://static.cninfo.com.cn/finalpage/2025-04-15/1223095840.PDF,1223095840,会计师事务所
000017,深中华A,深中华A：关于续聘会计师事务所的公告,2025-04-22,http://static.cninfo.com.cn/finalpage/2025-04-22/1223191327.PDF,1223191327,会计师事务所
000017,深中华A,深中华A：董事会对会计师事务所2024年度履职情况评估及审计委员会履行监督职责情况的报告,2025-04-22,http://static.cninfo.com.cn/finalpage/2025-04-22/1223191299.PDF,1223191299,会计事务所
000019,深粮控股,深粮控股：深圳市深粮控股股份有限公司关于对会计师事务所2024年度履职情况的评估暨审计委员会履行监督职责情况的报告,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223375184.PDF,1223375184,会计事务所
000021,深科技,深科技：关于2024年会计师事务所履职情况评估报告暨审计委员会履行监督职责情况报告,2025-04-25,http://static.cninfo.com.cn/finalpage/2025-04-25/1223270337.PDF,1223270337,会计师事务所
000025,特  力Ａ,特  力Ａ：关于变更签字会计师的公告,2025-01-09,http://static.cninfo.com.cn/finalpage/2025-01-09/1222270603.PDF,1222270603,会计师
000025,特  力Ａ,特  力Ａ：2024年度会计师事务所履职情况评估及审计委员会履行监督职责情况报告,2025-03-28,http://static.cninfo.com.cn/finalpage/2025-03-28/1222927700.PDF,1222927700,会计师事务所
000026,飞亚达,飞亚达：2024年度会计师事务所履职情况评估报告暨审计委员会对会计师事务所履行监督职责情况报告,2025-03-14,http://static.cninfo.com.cn/finalpage/2025-03-14/1222788738.PDF,1222788738,会计师事务所
000027,深圳能源,深圳能源：关于续聘2025年度审计机构的公告,2025-04-18,http://static.cninfo.com.cn/finalpage/2025-04-18/1223126146.PDF,1223126146,审计机构
000028,国药一致,国药一致：关于会计师事务所履职情况评估报告及董事会风险内控与审计委员会履行监督职责情况的报告,2025-04-08,http://static.cninfo.com.cn/finalpage/2025-04-08/1223019820.PDF,1223019820,会计师事务所
000028,国药一致,国药一致：关于续聘公司2025年度财务报告审计机构和内部控制审计机构的公告,2025-04-08,http://static.cninfo.com.cn/finalpage/2025-04-08/1223019844.PDF,1223019844,审计机构
000030,富奥股份,富奥股份：对会计师事务所2024年度履职情况评估报告,2025-04-18,http://static.cninfo.com.cn/finalpage/2025-04-18/1223124881.PDF,1223124881,会计师事务所
000030,富奥股份,富奥股份：关于拟续聘会计师事务所的公告,2025-04-18,http://static.cninfo.com.cn/finalpage/2025-04-18/1223124892.PDF,1223124892,会计师事务所
000030,富奥股份,富奥股份：董事会审计委员会对会计师事务所2024年度履行监督职责情况的报告,2025-04-18,http://static.cninfo.com.cn/finalpage/2025-04-18/1223124929.PDF,1223124929,会计师事务所
000031,大悦城,大悦城：关于拟续聘会计师事务所的公告,2025-04-19,http://static.cninfo.com.cn/finalpage/2025-04-19/1223153534.PDF,1223153534,会计师事务所
000031,大悦城,大悦城：董事会审计委员会对会计师事务所2024年度履职情况评估及履行监督职责情况的报告,2025-04-19,http://static.cninfo.com.cn/finalpage/2025-04-19/1223153554.PDF,1223153554,会计师事务所
000032,深桑达Ａ,深桑达Ａ：董事会审计与风险管理委员会对年审会计师事务所2024年度履职情况评估及履行监督职责情况报告,2025-04-25,http://static.cninfo.com.cn/finalpage/2025-04-25/1223281414.PDF,1223281414,会计事务所
000034,神州数码,神州数码：公司董事会审计委员会对会计师事务所2024年度履职情况评估及履行监督职责情况的报告,2025-03-29,http://static.cninfo.com.cn/finalpage/2025-03-29/1222950127.PDF,1222950127,会计师事务所
000034,神州数码,神州数码：关于续聘公司2025年度会计师事务所的公告,2025-04-26,http://static.cninfo.com.cn/finalpage/2025-04-26/1223314126.PDF,1223314126,会计师事务所
000035,中国天楹,中国天楹：关于会计师事务所2024年度履职情况的评估报告,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223370918.PDF,1223370918,会计师事务所
000035,中国天楹,中国天楹：关于拟续聘会计师事务所的公告,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223370954.PDF,1223370954,会计师事务所
000035,中国天楹,中国天楹：董事会审计委员会对会计师事务所2024年度履行监督职责情况的报告,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223370924.PDF,1223370924,会计师事务
000036,华联控股,华联控股：华联控股会计师事务所选聘制度（2025年4月修订）,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223363563.PDF,1223363563,会计师事务所
000036,华联控股,华联控股：华联控股董事会对会计师事务所2024年度履职情况评估报告及审计委员会履行监督职责情况的报告,2025-04-29,http://static.cninfo.com.cn/finalpage/2025-04-29/1223363555.PDF,1223363555,会计事务所
