secCode,secName,title,date,url,announcementId,keyword
000002,万  科Ａ,万科A：关于会计师事务所变更质量控制复核人的公告,2024-08-07,http://static.cninfo.com.cn/finalpage/2024-08-07/1220806999.PDF,1220806999,会计师事务所
000004,国华网安,国华网安：关于拟续聘会计师事务所的公告,2024-11-28,http://static.cninfo.com.cn/finalpage/2024-11-28/1221864962.PDF,1221864962,会计师事务所
000007,全新好,全新好：关于拟续聘会计师事务所的公告,2024-10-12,http://static.cninfo.com.cn/finalpage/2024-10-12/1221367172.PDF,1221367172,会计师事务所
000008,神州高铁,神州高铁：关于聘任公司总法律顾问及内部审计机构负责人的公告,2024-10-23,http://static.cninfo.com.cn/finalpage/2024-10-23/1221473944.PDF,1221473944,审计机构
000008,神州高铁,神州高铁：关于续聘会计师事务所的公告,2024-12-12,http://static.cninfo.com.cn/finalpage/2024-12-12/1221997867.PDF,1221997867,会计师事务所
000011,深物业A,深物业A：关于拟变更会计师事务所的公告,2024-10-31,http://static.cninfo.com.cn/finalpage/2024-10-31/1221574388.PDF,1221574388,会计师事务所
000012,南  玻Ａ,南  玻Ａ：关于续聘2024年度审计机构的公告,2024-10-09,http://static.cninfo.com.cn/finalpage/2024-10-09/1221342403.PDF,1221342403,审计机构
000014,沙河股份,沙河股份：关于拟变更会计师事务所的公告,2024-12-14,http://static.cninfo.com.cn/finalpage/2024-12-14/1222015611.PDF,1222015611,会计师事务所
000019,深粮控股,深粮控股：深圳市深粮控股股份有限公司关于续聘致同会计师事务所（特殊普通合伙）为2024年审计机构的公告,2024-10-29,http://static.cninfo.com.cn/finalpage/2024-10-29/1221541466.PDF,1221541466,会计师
000021,深科技,深科技：关于续聘会计师事务所的公告,2024-10-30,http://static.cninfo.com.cn/finalpage/2024-10-30/1221558138.PDF,1221558138,会计师事务所
000025,特  力Ａ,特  力Ａ：关于续聘2024年度审计机构的公告,2024-10-24,http://static.cninfo.com.cn/finalpage/2024-10-24/1221490536.PDF,1221490536,审计机构
