code,date,aid,title,eqr_new,still_miss,frag
300548,2022-04-08,1212839886,博创科技：博创科技股份有限公司关于续聘2022年度审计机构的公告,,True,、利通电子及鸿泉复核人珊物联等年度审计报告2.诚信记录项目 || 签字注册会计师、项目质量控制复核人近三年存在因执业行为受到刑事处罚，受 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。三、拟续
300550,2022-04-28,1213163943,和仁科技：关于续聘会计师事务所的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300550,2024-04-25,1219795727,和仁科技：关于续聘会计师事务所的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。（三）审
300550,2023-04-27,1216619147,和仁科技：关于续聘会计师事务所的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300553,2021-03-31,1209483712,集智股份：关于续聘2021年审计机构的公告,,True,任能力：是（2）质量控制复核人：章归鸿执业资质：注册会计师、注册税
300553,2020-04-10,1207470664,集智股份：关于续聘2020年审计机构的公告,,True,任能力：是（2）质量控制复核人：章归鸿执业资质：注册会计师、注册税
300553,2023-03-28,1216233977,集智股份：关于续聘2023年审计机构的公告,,True,6月2年1陈晓华质量控制复核人2001年1999年2020年11月 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4.审计
300553,2022-04-20,1212973725,集智股份：关于续聘2022年审计机构的公告,,True,任能力：是（3）质量控制复核人：陈晓华执业资质：注册会计师从业经历 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚，
300553,2024-04-20,1219689141,集智股份：关于续聘2024年审计机构的公告,,True,9月2年3陈晓华质量控制复核人2001年1999年2020年11月 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4.审计
300561,2020-04-28,1207642688,汇金科技：关于续聘公司2020年度审计机构的公告,,True,序，刘光斌拟担任项目质量控制复核人。刘光斌1995年起从事注册会计师业
300558,2021-03-26,1209454500,贝达药业：关于续聘2021公司年度会计师事务所的公告,,True,信息项目合伙人、项目质量控制复核人、拟签字注册会计师执业情况如下：近三 || 51419168复核人拟签字注册会邓红玉200911151 || 签字注册会计师、项目质量控制复核人、拟签字注册会计师近三年未收到相关处 || 签字注册会计师、项目质量控制复核人等不存违反《中国注册会计师职业道德守
300568,2024-04-18,1219653744,星源材质：关于拟续聘会计师事务所的公告,,True,审计报告。（3）项目质量控制复核人：林希敏林希敏，注册会计师，1995 || 册会计师黄金斌、项目质量控制复核人林希敏近三年均不存在因执业行为受到刑 || 册会计师黄金斌、项目质量控制复核人林希敏不存在可能影响独立性的情形。4
300568,2023-12-13,1218594693,星源材质：关于拟变更会计师事务所的公告,,True,审计报告。（3）项目质量控制复核人（拟）：林希敏林希敏，注册会计师，1 || 册会计师张雪莲、项目质量控制复核人（拟）林希敏近三年均不存在因执业行为 || 册会计师张雪莲、项目质量控制复核人（拟）林希敏不存在可能影响独立性的情
300569,2022-03-14,1212565208,天能重工：青岛天能重工股份有限公司关于审计机构变更审计报告项目质量控制复核人的公告,,True,"机构变更审计报告项目质量控制复核人的公告本公司及董事会全体成员保证公告 || 2021年报审计项目质量控制复核人。具体内容详见公司刊载于巨潮资讯网（ || 变更项目合伙人（项目质量控制复核人）的告知函》，根据和信内部工作调整, || 2021年报审计项目质量控制复核人，接替吕凯先生完成相关工作。一、本次 || 变更项目合伙人（项目质量控制复核人）的告知函》；2、汪泳先生执业资格证"
300569,2023-10-17,1218048337,天能重工：青岛天能重工股份有限公司关于拟变更会计师事务所的公告,,True,告共1份。（3）项目质量控制复核人张之祥先生，2006年成为中国注册会 || 册会计师蒋洁纯和质量控制复核人张之祥近三年不存在因执业行为受到刑事 || 册会计师蒋洁纯、项目质量控制复核人张之祥不存在违反《中国注册会计师职业
300572,2022-04-28,1213163937,安车检测：关于续聘公司2022年度审计机构的公告,,True,签字注册会计师、项目质量控制复核人近三年未因执业行为受到刑事处罚，受到 || 签字注册会计师、项目质量控制复核人能够在执行本项目审计工作时保持独立性
300572,2023-04-26,1216583405,安车检测：关于续聘公司2023年度审计机构的公告,,True,月8月11月家次复核人签字注2016年2014年2023年 || 签字注册会计师、项目质量控制复核人近三年未因执业行为受到刑事处罚，受到 || 签字注册会计师、项目质量控制复核人能够在执行本项目审计工作时保持独立性
300578,2020-04-28,1207643510,会畅通讯：关于续聘公司2020年度财务审计机构的公告,,True,）上市公司审计的质量控制复核人。是否从事过证券业务是拟签字注册会计
300579,2020-03-26,1207404497,数字认证：关于拟聘任2020年度会计师事务所的公告,,True,序，刘光斌拟担任项目质量控制复核人。刘光斌从事证券服务业务14年，负责
300580,2022-04-22,1213026809,贝斯特：关于续聘会计师事务所的公告,,True,人签字注册会计师质量控制复核人项目赵明孙诗雪薛敏何时成为注册会计师 || 等年度审计报告；质量控制复核人薛敏近三年签署或复核的上市公司有远东 || 签字注册会计师、项目质量控制复核人均具有证券服务业务从业经验，具备相应 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人等均不存在违反《中国注册会计师职业道
300580,2021-04-20,1209728842,贝斯特：关于续聘会计师事务所的公告,,True,人签字注册会计师质量控制复核人项目夏正曙赵明周航英何时成为注册会计 || 等年度审计报告；质量控制复核人周航英近三年复核的上市公司有通用股份 || 签字注册会计师、项目质量控制复核人近三年无因执业行为受到刑事处罚，受到 || 签字注册会计师、项目质量控制复核人等均不存在违反《中国注册会计师职业道
300582,2020-04-17,1207515106,英飞特：关于续聘2020年度审计机构的公告,,True,任能力：是（2）质量控制复核人：杨端平执业资质：注册会计师、注册税
300583,2021-04-20,1209723554,赛托生物：关于续聘公司2021年度审计机构的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为而受到刑事处罚 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300583,2022-04-26,1213100883,赛托生物：关于续聘公司2022年度审计机构的公告,,True,2019年审计报复核人告；2019年，签署全志科技、章源钨 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300583,2024-04-29,1219857801,赛托生物：关于续聘公司2024年度审计机构的公告,,True,人签字注册会计师项目质量复核人员姓名金闻何思超康雪艳何时成为注册会计 || 签字注册会计师、项目质量复核人员近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量复核人员不存在可能影响独立性的情形。4、审计
300584,2020-04-09,1207467311,海辰药业：关于续聘2020年度审计机构的公告,,True,职情况：无（3）质量控制复核人：杨林执业资质：注册会计师从业经历： || （项目合伙人）、质量控制复核人、拟签字注册会计师未持有和买卖公司股
300585,2022-04-26,1213107703,奥联电子：关于续聘会计师事务所的公告,,True,签字注册会计师、项目质量控制复核人近三年均不存在因执业行为受到刑事处罚 || 蔡卫华、周文阳及项目质量控制复核人陈晓龙不存在可能影响独立性的情形。4
300583,2023-04-25,1216549736,赛托生物：关于续聘公司2023年度审计机构的公告,,True,020年审计报制复核人告；2020年，签署兆驰股份、全志科 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300587,2021-04-27,1209816900,天铁股份：浙江天铁实业股份有限公司关于聘任2021年度外部审计机构的公告,,True,20年报。（3）项目质量控制负责人俞俊：2005年4月22日成为注册会 || 签字注册会计师、项目质量控制负责人近三年均未因执业行为受到刑事处罚，未 || 签字注册会计师、项目质量控制负责人不存在可能影响独立性的情形。4、审计
300588,2021-12-10,1211866394,熙菱信息：关于拟变更会计师事务所的公告,,True,报告4家。拟担任项目质量控制复核人：邵振宇邵振宇先生，2001年开始在 || 签字注册会计师、项目质量控制复核人近三年无执业行为受到刑事处罚，受到证 || 签字注册会计师、项目质量控制复核人等从业人员不存在违反《中国注册会计师
300587,2022-12-15,1215358313,天铁股份：浙江天铁实业股份有限公司关于聘任2022年度外部审计机构的公告,,True,19年报。（3）项目质量控制复核人俞俊：2005年4月22日成为注册会 || 签字注册会计师、项目质量控制复核人近三年无因执业行为受到刑事处罚，受到 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300587,2023-12-13,1218591251,天铁股份：浙江天铁实业股份有限公司关于聘任2023年度外部审计机构的公告,,True,报告5家。（3）项目质量控制复核人俞俊：2005年4月22日成为注册会 || 签字注册会计师、项目质量控制复核人近三年无因执业行为受到刑事处罚，无受 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300588,2024-04-25,1219796246,熙菱信息：关于续聘公司2024年度审计机构的公告,,True,报告1家。拟担任项目质量控制复核人：邵振宇邵振宇先生，2001年开始在 || 签字注册会计师、项目质量控制复核人近三年无执业行为受到刑事处罚，受到证 || 签字注册会计师、项目质量控制复核人等从业人员不存在违反《中国注册会计师
300589,2020-04-28,1207636446,江龙船艇：关于聘任2020年度审计机构的公告,,True,签字注册会计师及项目质量控制复核人尚未确定具体人员。5、诚信记录华兴会
300588,2023-04-27,1216615552,熙菱信息：关于续聘公司2023年度审计机构的公告,,True,报告3家。拟担任项目质量控制复核人：邵振宇邵振宇先生，2001年开始在 || 签字注册会计师、项目质量控制复核人近三年无执业行为受到刑事处罚，受到证 || 签字注册会计师、项目质量控制复核人等从业人员不存在违反《中国注册会计师
300592,2022-04-22,1213019673,华凯创意：关于续聘公司2022年度审计机构的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。三、审计
300592,2020-04-17,1207514817,华凯创意：关于续聘公司2020年度审计机构的公告,,True,质量控制23年制复核人师及复核工作，具备相应专业胜任能力。
300588,2022-04-29,1213206480,熙菱信息：关于续聘公司2022年度审计机构的公告,,True,报告2家。拟担任项目质量控制复核人：邵振宇邵振宇先生，2001年开始在 || 签字注册会计师、项目质量控制复核人近三年无执业行为受到刑事处罚，受到证 || 签字注册会计师、项目质量控制复核人等从业人员不存在违反《中国注册会计师
300592,2021-03-31,1209485363,华凯创意：关于续聘公司2021年度审计机构的公告,,True,2019审计报告复核人2019年：签署浙江永强等上市公司2 || 签字注册会计师、项目质量控制复核人近三年存在因执业行为受到刑事处罚，受 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。三、审计
300592,2024-04-19,1219662497,华凯易佰：关于续聘公司2024年度审计机构的公告,,True,人签字注册会计师项目质量复核人员姓名黄源源湛丹吴懿忻何时成为注册会计 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。三、审计
300592,2023-04-20,1216474926,华凯易佰：关于续聘公司2023年度审计机构的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。三、审计
300594,2021-04-09,1209659356,朗进科技：山东朗进科技股份有限公司关于拟续聘会计师事务所的公告,,True,专业胜任能力：是项目质量控制复核人的从业经历：项目质量控制复核人尹淑英 || 核人的从业经历：项目质量控制复核人尹淑英：2004年取得注册会计师资格 || 的专业胜任能力。项目质量控制复核人的执业资质：注册会计师项目质量控制复 || 资质：注册会计师项目质量控制复核人是否从事过证券服务业务：是项目质量控 || 证券服务业务：是项目质量控制复核人是否具有相应的专业胜任能力：是2.上
300604,2022-04-23,1213061995,长川科技：关于续聘天健会计师事务所（特殊普通合伙）为公司 2022 年度审计机构的公告,,True,册会计师俞金波、项目质量控制复核人沈颖玲近三年未受到刑事处罚、行政处罚 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300604,2021-04-27,1209835493,长川科技：关于续聘天健会计师事务所（特殊普通合伙）为公司 2021 年度审计机构的公告,,True,册会计师俞金波、项目质量控制复核人张建华近三年未受到刑事处罚、行政处罚 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300604,2023-04-21,1216496168,长川科技：关于续聘天健会计师事务所（特殊普通合伙）为公司 2023年度审计机构的公告,,True,1年2021年制复核人（600710）、苏垦农发（6019 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300605,2020-04-29,1207660215,恒锋信息：关于拟续聘2020年度审计机构的公告,,True,序，刘志永拟担任项目质量控制复核人。刘志永从事证券服务业务多年，负责审
300604,2024-04-24,1219774782,长川科技：杭州长川科技股份有限公司关于续聘天健会计师事务所（特殊普通合伙）为公司2024年度审计机构的公告,,True,签字注册会计项目质量复核人基本信息项目合伙人师员姓名严善明杨春 || 签字注册会计师、项目质量复核人员近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量复核人员不存在可能影响独立性的情形。4、审计
300611,2022-04-26,1213113209,美力科技：关于续聘会计师事务所的公告,,True,212021年度复核人威星智能、正元智慧、天地数码、美力科 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300611,2021-04-24,1209797484,美力科技：关于续聘会计师事务所的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
