code,date,aid,title,eqr_new,still_miss,frag
002883,2020-04-18,1207522208,中设股份：关于2020年度公司审计机构聘任的公告,均具备,False,
002885,2020-12-08,1208865152,京泉华：关于公司续聘2020年度审计机构的公告,包铁军,False,
002885,2021-12-15,1211906439,京泉华：关于公司续聘2021年度审计机构的公告,包铁军,False,
002887,2020-04-28,1207639286,绿茵生态：关于续聘2020年度审计机构的公告,李海成,False,
002885,2022-12-31,1215493612,京泉华：关于续聘2022年度审计机构的公告,林映雪,False,
002887,2023-08-29,1217672464,绿茵生态：关于续聘2023年度审计机构的公告,王书阁,False,
002890,2021-04-16,1209702473,弘宇股份：关于续聘2021年度审计机构的公告,陈修俭,False,
002890,2024-04-18,1219649229,弘宇股份：关于续聘公司2024年度审计机构的公告,肖霞,False,
002890,2022-12-10,1215315196,弘宇股份：关于续聘公司2022年度审计机构的公告,冯发明,False,
002891,2024-04-23,1219735238,中宠股份：关于续聘公司2024年度审计机构的公告,张勇,False,
002890,2023-04-25,1216549018,弘宇股份：关于续聘公司2023年度审计机构的公告,拥有,False,
002900,2021-04-28,1209827722,哈三联：关于拟续聘2021年度会计师事务所的公告,杨洪武,False,
002900,2023-04-26,1216586296,哈三联：关于拟续聘2023年度会计师事务所的公告,王新英,False,
002900,2022-04-27,1213126778,哈三联：关于拟续聘2022年度会计师事务所的公告,杨洪武,False,
002900,2024-04-26,1219815742,哈三联：关于拟续聘2024年度会计师事务所的公告,王新英,False,
002897,2020-05-28,1207866022,意华股份：关于续聘会计师事务所的公告,凌燕、钟建栋,False,
002907,2024-04-10,1219550597,华森制药：关于续聘2024年度会计师事务所的公告,陈伟,False,
002910,2024-04-27,1219871798,庄园牧场：兰州庄园牧场股份有限公司关于拟续聘公司2024年度会计师事务所的公告,刘会锋,False,
002912,2022-03-16,1212581871,中新赛克：关于续聘2022年度审计机构的公告,王士玮,False,
002912,2023-03-17,1216138928,中新赛克：关于续聘2023年度审计机构的公告,王士玮,False,
002912,2024-03-15,1219307626,中新赛克：关于续聘2024年度审计机构的公告,赵敏,False,
002912,2021-09-25,1211144848,中新赛克：关于变更2021年度审计机构的公告,杜志强,False,
002913,2023-08-10,1217501428,奥士康：奥士康科技股份有限公司关于拟变更会计师事务所的公告,吴建初,False,
002915,2023-04-25,1216548480,中欣氟材：关于续聘立信会计师事务所（特殊普通合伙）的公告,郭宪明,False,
002915,2024-04-16,1219624068,中欣氟材：关于续聘立信会计师事务所（特殊普通合伙）的公告,里全、郭宪明,False,
002923,2021-04-23,1209775250,润都股份：关于续聘公司2021年度审计机构的公告,包铁军,False,
002923,2023-04-27,1216620167,润都股份：珠海润都制药股份有限公司关于续聘会计师事务所的公告,张立,False,
002933,2020-04-28,1207640597,新兴装备：关于续聘2020年度审计机构的公告,李峻雄,False,
002932,2023-04-21,1216487101,明德生物：关于续聘2023年度审计机构的公告,揭明,False,
002933,2021-04-29,1209850152,新兴装备：关于续聘2021年度审计机构的公告,李峻雄,False,
002937,2020-03-27,1207409073,兴瑞科技：关于续聘会计师事务所的公告,张帅益,False,
002939,2020-12-05,1208857346,长城证券：关于续聘2020年度会计师事务所的公告,曾浩,False,
002939,2021-12-10,1211866312,长城证券：关于拟续聘会计师事务所的公告,韩健,False,
002951,2023-04-14,1216406530,金时科技：关于续聘公司2023年度会计师事务所的公告,吕卫星,False,
002951,2020-04-10,1207471094,金时科技：关于续聘2020年度审计机构的公告,均具备,False,
002951,2024-03-28,1219430391,ST金时：关于续聘会计师事务所的公告,付敏敏,False,
002950,2021-04-30,1209870166,奥美医疗：关于聘任会计师事务所的公告,朱锦梅,False,
002971,2020-04-29,1207654567,和远气体：关于续聘公司2020年度审计机构公告,李顺利,False,
002975,2020-04-22,1207550420,博杰股份：关于续聘会计师事务所的公告,王柳,False,
002985,2023-04-20,1216480765,北摩高科：关于拟续聘2022年年度审计机构的公告(1),张福建、李璟,False,
002987,2021-04-15,1209690513,京北方：关于续聘会计师事务所的公告,齐春艳,False,
002987,2024-04-13,1219596716,京北方：关于续聘会计师事务所的公告,王军,False,
002995,2021-04-28,1209832551,天地在线：关于续聘会计师事务所的公告,齐春艳,False,
003008,2021-04-09,1209655683,开普检测：关于续聘2021年度审计机构的公告,郝学花,False,
003008,2023-04-20,1216475689,开普检测：关于续聘2023年度审计机构的公告,郝学花,False,
003008,2022-08-19,1214331762,开普检测：关于续聘2022年度审计机构及聘任2022年度内部控制审计机构的公告,郝学花,False,
003008,2024-04-22,1219701311,开普检测：关于续聘2024年度审计机构的公告,郝学花,False,
003022,2020-12-23,1208965444,联泓新科：关于续聘公司2020年度审计机构的公告,唐炫,False,
003028,2021-04-20,1209723861,振邦智能：关于续聘会计师事务所的公告,包铁军,False,
003028,2021-02-26,1209306537,振邦智能：关于变更会计师事务所的公告,包铁军,False,
003028,2023-03-30,1216260612,振邦智能：关于续聘2023年度审计机构的公告,王荣俊,False,
003028,2022-04-12,1212885156,振邦智能：关于续聘2022年度审计机构的公告,包铁军,False,
003028,2024-03-29,1219449052,振邦智能：关于续聘2024年度审计机构的公告,王荣俊,False,
