stkcd,year,eng1_name,eng2_name,eng1_pid,eng2_pid,eqr_name,eqr_pid,eqr_ann_date,worktie,worktie_eng1_eng2,tie_projects
002023,2023,庄瑞兰,夏静,30261291、30261291.0,30654000、30654000.0,王需如,30290623.0,2024-04-25,0,1,
002024,2020,钱进,庄蓓蓓,30335145、30335145.0、30985305.0,N/A,李松波,,2020-04-18,0,1,
002024,2021,钱进,莫冰洁,30335145、30335145.0、30985305.0,30654145、30654145.0,李松波,,2021-04-24,0,0,
002024,2022,钱进,莫冰洁,30335145、30335145.0、30985305.0,30654145、30654145.0,张津,30336530.0,2022-04-30,0,1,
002024,2023,汪超,夏文琦,30430760.0、30430761、30430761.0,30726673、30726673.0,张津,30336530.0,2023-12-13,0,0,
002025,2020,申军,赵本刚,30291543、30291543.0,30291544、30291544.0,王皓东,30644338.0,2020-04-14,0,1,
002025,2021,翟晓敏,卫婵,30285790、30285790.0,30429574、30429574.0,宋刚,30315056.0,2021-09-28,0,0,
002025,2022,翟晓敏,马吉生,30285790、30285790.0,30683082、30683082.0,宋刚,30315056.0,2022-09-24,0,0,
002025,2023,张海啸,曲爽晴,30429538、30429538.0,30583805、30583805.0,马传军,30315055.0,2023-09-27,1,0,AUD-000803-2020;AUD-603569-2018;AUD-603569-2019;AUD-603569-2020
002026,2020,薛永东,孙有航,30291720、30291720.0,30429536、30429536.0,毕强,30198998.0,2020-04-28,0,1,
002026,2021,田阡,邵小军,30105896、30105896.0,30429480、30429480.0,毕强,30198998.0,2021-04-20,0,0,
002026,2022,牟宇红,邵小军,30335699、30335699.0,30429480、30429480.0,毕强,30198998.0,2022-04-26,0,1,
002026,2023,牟宇红,邵小军,30335699、30335699.0,30429480、30429480.0,路清,30130758.0,2024-04-23,0,1,
002027,2020,葛伟俊,王薇,3064282、3064282.0,30321396、30321396.0、30360498.0,,,,0,0,
002027,2021,葛伟俊,王薇,3064282、3064282.0,30321396、30321396.0、30360498.0,朱育勤,30286189.0,2021-04-23,0,1,
002027,2022,葛伟俊,王薇,3064282、3064282.0,30321396、30321396.0、30360498.0,朱育勤,30286189.0,2022-04-29,0,1,
002027,2023,葛伟俊,王薇,3064282、3064282.0,30321396、30321396.0、30360498.0,朱育勤,30286189.0,2024-04-30,0,1,
002028,2020,张晓荣,孙伟敏,30140426、30140426.0,30619619、30619619.0,韩赟云,30416326.0,2020-04-18,0,0,
002028,2021,卫朝华,孙伟敏,30416339、30416339.0,30619619、30619619.0,韩赟云,30416326.0,2021-04-17,0,0,
002028,2022,卫朝华,池溦,30416339、30416339.0,3042392、3042392.0,韩赟云,30416326.0,2022-04-16,0,1,
002028,2023,时英浩,吴萍,30416304、30416304.0,30335398.0、30738196、30738196.0,陶有宜,,2023-12-26,0,0,
002029,2020,陈航晖,孙露,30269464、30269464.0,30429147、30429147.0,,,,0,1,
002029,2021,陈航晖,孙露,30269464、30269464.0,30429147、30429147.0,张玉,30429021.0、30429128.0,2021-04-02,0,1,
002029,2022,林希敏,孙露,30369729、30369729.0,30429147、30429147.0,张玉,30429021.0、30429128.0,2022-04-02,0,1,
002029,2023,林希敏,孙露,30369729、30369729.0,30429147、30429147.0,康清丽,30378468.0,2024-04-03,0,1,
002030,2020,徐聃,郭华赛,30291679、30291679.0,30545318、30545318.0,,,,0,1,
002030,2021,徐聃,郭华赛,30291679、30291679.0,30545318、30545318.0,王建民,30259450.0,2021-03-31,0,1,
002030,2022,徐聃,郭华赛,30291679、30291679.0,30545318、30545318.0,姜干,30428776.0,2022-12-31,0,1,
002030,2023,徐聃,郭华赛,30291679、30291679.0,30545318、30545318.0,江永辉,30280025.0,2024-04-30,0,1,
002031,2020,贺春海,吴瑞玲,30286965、30286965.0,30286947、30286947.0,鲍琼,30128188.0,2020-04-17,0,1,
002031,2021,贺春海,吴瑞玲,30286965、30286965.0,30286947、30286947.0,,,,0,1,
002031,2022,贺春海,吴瑞玲,30286965、30286965.0,30286947、30286947.0,崔腾,30327816.0,2022-04-15,0,1,
002031,2023,贺春海,吴瑞玲,30286965、30286965.0,30286947、30286947.0,崔腾,30327816.0,2024-04-30,0,1,
002032,2020,李维,徐凯博,30329319、30329319.0、30682962.0,30579789、30579789.0,谢峰,30268711.0,2020-04-29,0,1,
002032,2021,黄锋,靳阳,30360374、30360374.0,30544501、30544501.0,徐敏,30264213.0、30329912.0、30640710.0,2021-04-01,1,0,AUD-600585-2018
002032,2022,黄锋,靳阳,30360374、30360374.0,30544501、30544501.0,徐敏,30264213.0、30329912.0、30640710.0,2022-04-01,1,1,AUD-600585-2018
002032,2023,黄锋,靳阳,30360374、30360374.0,30544501、30544501.0,周徐春,30605602.0,2024-03-30,1,1,AUD-600585-2022
002033,2020,方自维,沈胜祺,30290613、30290613.0,30391661、30391661.0,李玲,30426307.0、30430570.0、30654271.0、30790722.0、30790746.0、30790756.0,2020-03-31,0,1,
002033,2021,方自维,沈胜祺,30290613、30290613.0,30391661、30391661.0,李玲,30426307.0、30430570.0、30654271.0、30790722.0、30790746.0、30790756.0,2021-03-09,0,1,
002033,2022,方自维,沈胜祺,30290613、30290613.0,30391661、30391661.0,陈荣举,30258627.0,2022-03-08,0,1,
002033,2023,杨漫辉,沈胜祺,30268467、30268467.0,30391661、30391661.0,沈蓉,30128804.0,2024-06-12,0,0,
002034,2020,朱大为,韩熙,30260056、30260056.0,30405953、30405953.0,,,,0,0,
002034,2021,陈素素,胡青,30289962、30289962.0,30349260、30349260.0,,,,0,0,
002034,2022,陈素素,戚铁桥,30289962、30289962.0,30328592、30328592.0,,,,0,1,
002034,2023,沈培强,戚铁桥,30302268、30302268.0,30328592、30328592.0,,,,0,1,
002035,2020,周俊杰,李启有,30288445、30288445.0,30333952、30333952.0,,,,0,1,
002035,2021,周俊杰,李启有,30288445、30288445.0,30333952、30333952.0,盛浩娟,30315369.0,2021-04-28,0,1,
002035,2022,吴淳,李启有,30391808、30391808.0,30333952、30333952.0,伊秀艳,30426163.0,2022-04-29,0,0,
002035,2023,吴淳,李启有,30391808、30391808.0,30333952、30333952.0,郑秀兰,30426060.0,2023-10-31,0,1,
002036,2020,丁莉,张玲娜,30262931、30262931.0,30428717、30428717.0,,,,0,1,
002036,2021,丁莉,何雨村,30262931、30262931.0,30429171、30429171.0,,,,0,1,
002036,2022,丁莉,何雨村,30262931、30262931.0,30429171、30429171.0,,,,0,1,
002036,2023,毛英莉,张玲娜,30269182、30269182.0,30428717、30428717.0,惠增强,30269327.0,2024-04-30,0,1,
002037,2020,金华,常姗,30349281、30349281.0,30545204、30545204.0,,,,0,1,
002037,2021,金华,常姗,30349281、30349281.0,30545204、30545204.0,郭顺玺,30317285.0,2021-04-29,0,1,
002037,2022,唐洪春,闵鹏锟,30304827、30304827.0,30684536、30684536.0,王皓东,30644338.0,2022-06-18,0,0,
002037,2023,唐洪春,闵鹏锟,30304827、30304827.0,30684536、30684536.0,王皓东,30644338.0,2023-04-28,0,1,
002038,2020,郝丽江,易欢,30306066、30306066.0,30426794.0、30430596、30430596.0,熊亚菊,,2020-04-29,0,1,
002038,2021,郝丽江,易欢,30306066、30306066.0,30426794.0、30430596、30430596.0,熊亚菊,,2021-04-27,0,1,
002038,2022,郝丽江,沈彦波,30306066、30306066.0,30329914、30329914.0,张瑞,30325272.0、30618627.0,2022-04-26,0,1,
002038,2023,王书阁,邓军,30280762、30280762.0,30322024、30322024.0、30653969.0,张瑞,30325272.0、30618627.0,2023-04-26,0,1,
002039,2020,唐洪春,毛伟,30304827、30304827.0,30293003.0、30584123、30584123.0,王皓东,30644338.0,2020-03-27,0,1,
002039,2021,唐洪春,毛伟,30304827、30304827.0,30293003.0、30584123、30584123.0,王皓东,30644338.0,2021-03-26,0,1,
002039,2022,唐洪春,朱刚,30304827、30304827.0,30642439、30642439.0,王皓东,30644338.0,2022-04-01,0,1,
002039,2023,唐洪春,朱刚,30304827、30304827.0,30642439、30642439.0,王军,30418445.0、30428375.0、30428376.0、30640410.0,2024-03-30,0,1,
002040,2020,游世秋,倪新浩,30292369、30292369.0,30427721、30427721.0,,,,0,1,
002040,2021,顾春华,倪新浩,30328654、30328654.0,30427721、30427721.0,虞丽新,30126116.0,2021-04-29,1,1,AUD-002426-2010;AUD-002426-2011
002040,2022,顾春华,陶思慧,30328654、30328654.0,30427733、30427733.0,,,,0,1,
002040,2023,顾春华,陶思慧,30328654、30328654.0,30427733、30427733.0,,,,0,1,
002041,2020,张志良,张爱俭,30424657、30424657.0,30424727、30424727.0,,,,0,1,
002041,2021,马晓红,李春友,30424783、30424783.0,30424753、30424753.0,魏艳霞,30359600.0,2021-04-20,0,0,
002041,2022,马晓红,李春友,30424783、30424783.0,30424753、30424753.0,王红梅,30423310.0、30424056.0,2022-04-19,0,1,
002041,2023,马晓红,李春友,30424783、30424783.0,30424753、30424753.0,贾丽娜,3048616.0,2024-04-23,0,1,
002042,2020,张媛媛,张晓义,30295962、30295962.0、30583832.0、30620210.0、30790595.0、30790608.0,30286357、30286357.0,包铁军,,2020-04-29,0,0,
002042,2021,张媛媛,郭玉,30295962、30295962.0、30583832.0、30620210.0、30790595.0、30790608.0,30428697.0、30563232,王曙晖,30269011.0,2021-10-28,0,0,
002042,2022,张晓义,张吉宝,30286357、30286357.0,30684996、30684996.0,,,,0,0,
002042,2023,陈磊,张吉宝,30318252.0、30428700、30428700.0,30684996、30684996.0,周灵芝,30367494.0,2024-04-27,0,0,
002043,2020,徐晓峰,许安平,30303485、30303485.0,30364582、30364582.0,,,,0,1,
002043,2021,徐晓峰,潘世玉,30303485、30303485.0,30428218、30428218.0,,,,0,1,
002043,2022,徐晓峰,蔡季,30303485、30303485.0,30675780、30675780.0,,,,0,0,
002043,2023,徐晓峰,蔡季,30303485、30303485.0,30675780、30675780.0,,,,0,1,
002044,2020,黄锋,潘子建,30360374、30360374.0,30430588、30430588.0,拟定,,2020-04-30,0,1,
002044,2021,黄锋,周臻,30360374、30360374.0,30544520、30544520.0,拟定,,2021-04-13,0,0,
002044,2022,谢卉,杨胡伟,30286588、30286588.0,30579863、30579863.0,拟定,,2022-04-16,0,1,
002044,2023,谢卉,杨胡伟,30286588、30286588.0,30579863、30579863.0,范业强,30790755.0,2024-04-25,0,1,
002045,2020,潘汝彬,马云峰,30335019、30335019.0,30430250、30430250.0,,,,0,1,
002045,2021,潘汝彬,马云峰,30335019、30335019.0,30430250、30430250.0,李刚,30426215.0、30618781、30618781.0,2021-04-13,1,1,AUD-002045-2020
002045,2022,杨林,常怡,30268919、30268919.0、30430624.0、30544393.0,30427609、30427609.0,罗娟,30420247.0、30430230.0,2022-04-28,0,1,
002045,2023,金炜,王玮,30313454、30313454.0,30392478.0、30417769.0、30428514.0、30641560、30641560.0,吴国祥,,2024-04-16,0,0,
002046,2020,金华,李娅丽,30349281、30349281.0,30429865、30429865.0,,,,0,0,
002046,2021,金华,刘媛媛,30349281、30349281.0,30430164.0、30545214、30545214.0、30733253.0,王娜,30330646.0、30422910.0,2021-04-27,0,0,
002046,2022,杨海固,郭毅辉,30363353、30363353.0,30429277.0、30430243、30430243.0,,,,0,0,
002046,2023,杨海固,王启盛,30363353、30363353.0,30430252、30430252.0,蔡如笑,30430239.0,2023-10-31,0,0,
002047,2020,张朝铖,刘国平,30280842、30280842.0,30428649、30428649.0、30642611.0,,,,0,1,
002047,2021,张朝铖,何英武,30280842、30280842.0,30637958、30637958.0,王曙晖,30269011.0,2021-04-28,0,0,
002047,2022,张朝铖,何英武,30280842、30280842.0,30637958、30637958.0,王曙晖,30269011.0,2022-04-30,0,1,
002047,2023,张朝铖,何英武,30280842、30280842.0,30637958、30637958.0,刘升文,30613615.0,2023-04-25,0,1,
002048,2020,施其林,刘梦曦,30260225、30260225.0,30619845、30619845.0,沈颖玲,,2020-04-29,0,0,
002048,2021,施其林,沈筱敏,30260225、30260225.0,30430878、30430878.0,沈颖玲,,2021-04-28,0,1,
002048,2022,施其林,唐彬彬,30260225、30260225.0,30365875、30365875.0,沈颖玲,,2022-04-29,0,1,
002048,2023,唐彬彬,李霞,30365875、30365875.0,30428710.0、30643681、30643681.0、30731918.0,沈颖玲,,2023-04-28,0,0,
002049,2020,廖建波,傅映红,30620152、30620152.0,30260511、30260511.0,王红梅,30423310.0、30424056.0,2020-09-10,0,0,
002049,2021,马朝松,徐雪锋,3059642、3059642.0,30643942、30643942.0,王红梅,30423310.0、30424056.0,2021-04-22,0,0,
002049,2022,刘景伟,王宏疆,30167596、30167596.0,30353885、30353885.0,张吉文,30258171.0,2022-11-08,0,0,
002049,2023,刘景伟,王宏疆,30167596、30167596.0,30353885、30353885.0,张吉文,30258171.0,2024-04-18,0,1,
002050,2020,罗训超,欧阳小云,30268269、30268269.0,30381973、30381973.0,,,,0,1,
002050,2021,罗训超,张欣,30268269、30268269.0,30644243.0、30654388.0、30654768、30654768.0,王晨,30430830.0,2021-03-27,0,0,
002050,2022,罗训超,张欣,30268269、30268269.0,30644243.0、30654388.0、30654768、30654768.0,,,,0,1,
002050,2023,罗训超,张欣,30268269、30268269.0,30644243.0、30654388.0、30654768、30654768.0,曹小勤,30298896.0,2024-04-30,0,1,
002051,2020,杨卫国,王帅军,30293274、30293274.0、30425344.0,30567094、30567094.0,李峻雄,,2020-04-22,0,1,
002051,2021,杨卫国,王帅军,30293274、30293274.0、30425344.0,30567094、30567094.0,李峻雄,,2021-04-08,0,1,
002051,2022,刘晓丽,宿金英,30425450、30425450.0,30579860、30579864.0,,,,0,0,
002051,2023,徐超玉,李建长,30268901、30268901.0,30268902、30268902.0,肖峰,30263189.0、30341419.0,2024-04-08,0,1,
002052,2020,刘升文,石循喜,30613615、30613615.0,30620238、30620238.0,,,,0,0,
002052,2021,刘升文,任鑫,30613615、30613615.0,30613614、30613614.0,王曙晖,30269011.0,2021-08-21,0,0,
002052,2022,刘升文,任鑫,30613615、30613615.0,30613614、30613614.0,,,,0,1,
002052,2023,任鑫,袁隆,30613614、30613614.0,30739977、30739977.0,周灵芝,30367494.0,2024-04-20,0,0,
002053,2020,鲍琼,廖芳,30128188、30128188.0,30429493.0、30429495、30429495.0,魏勇,30128532.0,2020-03-28,1,1,AUD-000807-2003;AUD-000807-2004;AUD-600265-2009;AUD-600995-2009
002053,2021,鲍琼,金鑫,30128188、30128188.0,30330770.0、30641575、30641575.0、30654763.0,廖志勇,30352417.0,2021-03-31,0,0,
002053,2022,陈智,后乾,30428080、30428080.0,30682370、30682370.0,王皓东,30644338.0,2022-09-14,0,0,
002053,2023,陈智,后乾,30428080、30428080.0,30682370、30682370.0,王晓蔷,30428480.0,2024-06-21,0,1,
002054,2020,唐玲,严杰,30309143、30309143.0,30594466、30594466.0,,,,0,0,
002054,2021,唐玲,严杰,30309143、30309143.0,30594466、30594466.0,陈锦棋,30160538.0,2021-03-09,1,1,AUD-000150-2011;AUD-000150-2012;AUD-000150-2013
002054,2022,唐玲,严杰,30309143、30309143.0,30594466、30594466.0,陈锦棋,30160538.0,2022-03-29,1,1,AUD-000150-2011;AUD-000150-2012;AUD-000150-2013
002054,2023,唐玲,严杰,30309143、30309143.0,30594466、30594466.0,陈锦棋,30160538.0,2024-03-30,1,1,AUD-000150-2011;AUD-000150-2012;AUD-000150-2013
002055,2020,何晶晶,周敏,30361538、30361538.0,30263191.0、30372502、30372502.0、30618384.0,包铁军,,2020-04-30,0,1,
002055,2021,刘雪明,肖玲,30403731、30403731.0,30311827、30311827.0,,,,0,1,
002055,2022,刘雪明,周敏,30403731、30403731.0,30263191.0、30372502、30372502.0、30618384.0,,,,0,0,
002055,2023,刘雪明,肖玲,30403731、30403731.0,30311827、30311827.0,,,,0,1,
002056,2020,张芹,林琦,30286941、30286941.0,30546464、30546464.0,,,,0,1,
002056,2021,张芹,林琦,30286941、30286941.0,30546464、30546464.0,,,,0,1,
002056,2022,张芹,林琦,30286941、30286941.0,30546464、30546464.0,,,,0,1,
002056,2023,张芹,林琦,30286941、30286941.0,30546464、30546464.0,,,,0,1,
002057,2020,邹吉丰,刘军,30322452、30322452.0,30424197、30424197.0、30428815.0,李峻雄,,2020-04-20,0,1,
002057,2021,邹吉丰,周爱华,30322452、30322452.0,30643795、30643795.0,,,,0,0,
002057,2022,邹吉丰,周爱华,30322452、30322452.0,30643795、30643795.0,,,,0,1,
002057,2023,王文政,邹俭,30426317、30426317.0,30426025、30426025.0,刘蓉晖,30426314.0,2023-10-28,0,1,
002058,2020,唐炫,严卫,30275424、30275424.0,30297087、30297087.0,,,,0,1,
002058,2021,陈林,周齐,30426031.0、30618404、30618404.0、30736540.0、30790753.0,30544773、30544773.0,李海成,,2021-07-28,0,0,
002058,2022,陈林,周齐,30426031.0、30618404、30618404.0、30736540.0、30790753.0,30544773、30544773.0,李海成,,2022-04-30,0,1,
002058,2023,陈林,周齐,30426031.0、30618404、30618404.0、30736540.0、30790753.0,30544773、30544773.0,李海成,,2023-05-17,0,1,
002059,2020,李云虹,游旭,30321462、30321462.0,30583793、30583793.0,常晓波,30127608.0,2020-04-23,0,1,
002059,2021,李云虹,游旭,30321462、30321462.0,30583793、30583793.0,,,,0,1,
002059,2022,李云虹,游旭,30321462、30321462.0,30583793、30583793.0,黄迎,30268619.0,2022-03-30,0,1,
002059,2023,李云虹,游旭,30321462、30321462.0,30583793、30583793.0,黄迎,30268619.0,2023-12-09,0,1,
002060,2020,王建华,荣矾,30427568.0、30428545.0、30428551、30428551.0,30388631、30388631.0,包铁军,,2020-04-14,0,0,
002060,2021,王建华,荣矾,30427568.0、30428545.0、30428551、30428551.0,30388631、30388631.0,包铁军,,2021-03-31,0,1,
002060,2022,方建新,朱文岳,3087734、3087734.0,30145604、30145604.0,包铁军,,2022-03-30,0,0,
002060,2023,方建新,朱文岳,3087734、3087734.0,30145604、30145604.0,,,,0,1,
002061,2020,金闻,王润,30330326、30330326.0,30364073、30364073.0、30619981.0,,,,0,1,
002061,2021,施其林,吕蔡霞,30260225、30260225.0,30654149、30654149.0,,,,0,0,
002061,2022,施其林,范俊,30260225、30260225.0,30430883、30430883.0,,,,0,1,
002061,2023,施其林,范俊,30260225、30260225.0,30430883、30430883.0,,,,0,1,
002062,2020,谢军,翟文杰,30185296、30185296.0,30582184、30582184.0,,,,0,0,
002062,2021,谢军,翟文杰,30185296、30185296.0,30582184、30582184.0,,,,0,1,
002062,2022,王海第,张郡莹,30381450、30381450.0,30643171、30643171.0,,,,0,0,
002062,2023,王海第,张郡莹,30381450、30381450.0,30643171、30643171.0,,,,0,1,
002063,2020,李恩成,余红,30333823、30333823.0,30546456、30546456.0,,,,0,1,
002063,2021,李恩成,余红,30333823、30333823.0,30546456、30546456.0,,,,0,1,
002063,2022,李恩成,余红,30333823、30333823.0,30546456、30546456.0,刘志永,30268429.0,2021-12-30,0,1,
002063,2023,李恩成,刘建兵,30333823、30333823.0,30583967、30583967.0,蒋晓明,30321342.0,2024-04-26,0,1,
002064,2020,朱伟,杨金晓,30259940、30259940.0、30336480.0、30426447.0、30619954.0、30984043.0,30297365、30297365.0,,,,0,1,
