stkcd,year,eng1_name,eng2_name,eng1_pid,eng2_pid,eqr_name,eqr_pid,eqr_ann_date,worktie,worktie_eng1_eng2,tie_projects
000001,2020,陈岸强,刘宇峰,30545475、30545475.0,30618911、30618911.0,,,,0,0,
000001,2021,昌华,王阳燕,30280543、30280543.0,30640462、30640462.0,范勋,30984953.0,2020-10-22,0,0,
000001,2022,昌华,王阳燕,30280543、30280543.0,30640462、30640462.0,梁成杰,30427925.0,2022-03-10,0,1,
000001,2023,昌华,王阳燕,30280543、30280543.0,30640462、30640462.0,田志勇,30391287.0,2024-03-15,0,1,
000002,2020,陈泳意,李默然,30428009、30428009.0,30578359、30578359.0,张京京,30406768.0,2020-03-18,0,1,
000002,2021,周永明,李默然,30427997、30427997.0,30578359、30578359.0,李婉薇,30260833.0,2021-03-31,0,0,
000002,2022,周永明,李默然,30427997、30427997.0,30578359、30578359.0,李婉薇,30260833.0,2022-03-31,0,1,
000002,2023,周永明,李默然,30427997、30427997.0,30578359、30578359.0,,,,0,1,
000004,2020,申宏波,万海青,30430956、30430956.0,30618415、30618415.0,,,,0,0,
000004,2021,付细军,庄翠曼,30568579、30568579.0,30584117、30584117.0,包铁军,,2020-10-29,0,1,
000004,2022,侯胜利,杜丽,30417846、30417846.0,30417879、30417879.0,范震杰,30353479.0,2021-11-10,0,1,
000004,2023,侯胜利,杜丽,30417846、30417846.0,30417879、30417879.0,逯文君,30417907.0,2023-10-28,1,1,AUD-600186-2020
000005,2020,胡兵,曾毅凯,30427519、30427519.0,30427508、30427508.0,张逸,30427435.0,2020-05-23,0,1,
000005,2021,刘凤美,高凤霞,30321023、30321023.0,30321830、30321830.0,,,,0,1,
000005,2022,王栋,王维,30321829、30321829.0、30321832.0,30420886.0、30684917、30684917.0,崔江涛,30426536.0,2022-04-27,0,0,
000006,2020,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2020-04-09,0,1,
000006,2021,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2021-03-31,0,1,
000006,2022,陈子涵,谢俊英,30341372、30341372.0,30546785、30546785.0,王皓东,30644338.0,2022-04-16,0,0,
000006,2023,李建军,吴汪斌,30426675.0、30625952、30625952.0,30336847、30336847.0,陈华,30573997.0、30737513.0,2024-04-27,0,0,
000007,2020,胡芬芳,肖志军,30547205、30547205.0,30547206、30547206.0,,,,0,1,
000007,2021,于龙斌,邓雪雷,30357418、30357418.0,30435570、30435570.0,王国辉,,2021-01-04,0,0,
000007,2022,肖志军,李国强,30547206、30547206.0,30417534.0、30684918、30684918.0,钱小祥,,2021-11-24,0,0,
000007,2023,肖志军,黄弦,30547206、30547206.0,30723705、30723705.0,王国辉,,2023-11-17,0,0,
000008,2020,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,,,,0,0,
000008,2021,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,梁晓燕,30184316.0,2020-12-08,0,1,
000008,2022,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,梁晓燕,30184316.0,2021-10-29,0,1,
000008,2023,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,梁晓燕,30184316.0,2023-12-16,0,1,
000009,2020,刘钧,赵文凌,30291453、30291453.0,30313450、30313450.0,谢峰,30268711.0,2020-04-29,0,1,
000009,2021,罗明国,王怡菲,30336386、30336386.0,30425582、30425582.0,王郁,30261725.0、30416852.0,2021-03-27,0,0,
000009,2022,罗明国,王怡菲,30336386、30336386.0,30425582、30425582.0,王郁,30261725.0、30416852.0,2022-03-31,0,1,
000009,2023,罗明国,王勉,30336386、30336386.0,30425670、30425670.0,王明璀,30286593.0,2024-04-16,0,0,
000010,2020,李光初,武俐,30278262、30278262.0,30423169、30423169.0,,,,0,0,
000010,2021,王晓清,武俐,30278263、30278263.0,30423169、30423169.0,,,,0,0,
000010,2022,王晓清,蔡艳芳,30278263、30278263.0,30423168、30423168.0,,,,0,0,
000010,2023,王晓清,蔡艳芳,30278263、30278263.0,30423168、30423168.0,,,,0,1,
000011,2020,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2020-04-08,0,1,
000011,2021,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2021-03-31,0,1,
000011,2022,陈子涵,钟钦方,30341372、30341372.0,30653440、30653440.0,王皓东,30644338.0,2022-03-30,0,1,
000011,2023,陈子涵,钟钦方,30341372、30341372.0,30653440、30653440.0,王皓东,30644338.0,2023-03-25,0,1,
000012,2020,周先宏,孙伟捷,30321145、30321145.0,30547793.0、N/A,,,,0,1,
000012,2021,周先宏,武宜洛,30321145、30321145.0,30417392、30417392.0,,,,0,0,
000012,2022,王东兰,魏健,30684080、30684080.0,30684081、30684081.0,武宜洛,30417392.0,2022-10-25,0,0,
000012,2023,苏洋,杨华,30130868、30130868.0,30420278.0、30425457.0、30429900、30429900.0,邱连强,,2023-11-14,0,1,
000014,2020,邓冬梅,梁嫦娥,30372335、30372335.0,30583723、30583723.0,,,,0,0,
000014,2021,林崇云,裘小莹,30363670、30363670.0,30330384、30330384.0,王兰萍,30261501.0,2020-10-24,0,1,
000014,2022,林崇云,裘小莹,30363670、30363670.0,30330384、30330384.0,邱丽婷,,2021-10-26,0,1,
000014,2023,林崇云,柳璟屏,30363670、30363670.0,30269247、30269247.0,陈耘涛,30260384.0,2023-10-31,0,0,
000016,2020,郭东超,詹妙灵,30316224、30316224.0,30545793、30545793.0,,,,0,0,
000016,2021,汤其美,刘剑华,3047506、3047506.0,30307364、30307364.0,,,,0,1,
000016,2022,汤其美,刘丽红,3047506、3047506.0,30545791、30545791.0,,,,0,1,
000016,2023,汤其美,刘丽红,3047506、3047506.0,30545791、30545791.0,,,,0,1,
000017,2020,陈志刚,张磊,3091620、3091620.0,30304860.0、30329141.0、30417910.0、30425745.0、30428557、30428557.0、30766063.0,王皓东,30644338.0,2020-06-09,0,1,
000017,2021,屈先富,邓军,30257163、30257163.0,30322024.0、30653969、30653969.0,王皓东,30644338.0,2021-08-27,0,0,
000017,2022,屈先富,邓军,30257163、30257163.0,30322024.0、30653969、30653969.0,汪吉军,30324248.0,2022-06-07,0,1,
000017,2023,黄国香,付志涛,30322903、30322903.0,30619522、30619522.0,陈依航,30316042.0,2024-05-10,0,1,
000019,2020,祁涛,陶国恒,30291292、30291292.0,30430128、30430128.0,黄瑾,30545343.0,2020-04-28,1,0,AUD-000061-2019;AUD-300136-2018;AUD-300136-2019
000019,2021,祁涛,陶国恒,30291292、30291292.0,30430128、30430128.0,张帆,30258129.0、30359850.0、30682355.0、30733274.0,2021-04-27,0,1,
000019,2022,祁涛,陶国恒,30291292、30291292.0,30430128、30430128.0,张帆,30258129.0、30359850.0、30682355.0、30733274.0,2022-04-26,0,1,
000019,2023,高虹,王忠年,30331309、30331309.0,30629227、30629227.0,杜非,,2023-11-25,0,0,
000020,2020,凡章,杨婷,30428765、30428765.0,30423164、30423164.0,宋治忠,30673020.0,2020-04-30,0,0,
000020,2021,姚翠玲,杨婷,30428841、30428841.0,30423164、30423164.0,,,,0,0,
000020,2022,陈鹏,王金云,30281302、30281302.0、30428778.0、30683384.0、30693653.0,30430657、30430657.0,,,,0,0,
000020,2023,陈鹏,王金云,30281302、30281302.0、30428778.0、30683384.0、30693653.0,30430657、30430657.0,,,,0,1,
000021,2020,章顺文,张嫣明,30312064、30312064.0,30618582、30618582.0,谢晖,30269479.0,2020-04-24,0,0,
000021,2021,章顺文,张嫣明,30312064、30312064.0,30618582、30618582.0,谢晖,30269479.0,2021-04-30,0,1,
000021,2022,龚荣华,韩士民,30428798、30428798.0,30683507、30683507.0,徐冬冬,30305587.0,2022-04-21,0,0,
000021,2023,龚荣华,韩士民,30428798、30428798.0,30683507、30683507.0,员冯发明,,2023-09-08,0,1,
000023,2020,魏强,王崇岳,30290650、30290650.0,30619124、30619124.0,钱学芹,,2020-09-30,0,0,
000023,2021,衣志坤,栾翔,30369989、30369989.0,30619121、30619121.0,,,,0,0,
000023,2022,李勇,蒋翠华,30420191、30420191.0、30422197.0、30423129.0、30579890.0、30583726.0、30984751.0,30420187、30420187.0,钱学芹,,2021-10-30,0,0,
000023,2023,陈海强,陈新良,30649147、30649147.0,30653995、30653995.0,张繁荣,30417093.0,2023-12-09,0,1,
000025,2020,李巧仪,秦昌明,30260767、30260767.0,30298669、30298669.0,,,,0,1,
000025,2021,李巧仪,秦昌明,30260767、30260767.0,30298669、30298669.0,,,,0,1,
000025,2022,陈链武,秦昌明,30429771、30429771.0,30298669、30298669.0,,,,0,0,
000025,2023,吴亮,谢明明,30547047、30547047.0,30683080、30683080.0,纪小健,30363119.0,2023-09-22,0,0,
000026,2020,董旭,孟俊峰,30354236、30354236.0,30583474、30583474.0,郑建彪,30169698.0,2020-03-20,0,1,
000026,2021,龙娇,王冬,30291415、30291415.0,30640441、30640441.0,唐卫强,,2021-08-20,0,0,
000026,2022,龙娇,王冬,30291415、30291415.0,30640441、30640441.0,唐卫强,,2022-03-10,0,1,
000026,2023,龙娇,王冬,30291415、30291415.0,30640441、30640441.0,敖都吉雅,30324357.0,2024-03-14,0,1,
000027,2020,廖文佳,朱婷,30320796、30320796.0,30427886、30427886.0,,,,0,1,
000027,2021,陈子民,林启兴,30618291、30618291.0,30429169、30429169.0,王洁,30334702.0、30654267.0,2021-04-20,1,1,AUD-003816-2020
000027,2022,陈子民,林启兴,30618291、30618291.0,30429169、30429169.0,王洁,30334702.0、30654267.0,2022-08-24,1,1,AUD-003816-2020;AUD-003816-2021
000027,2023,陈子民,林启兴,30618291、30618291.0,30429169、30429169.0,王洁,30334702.0、30654267.0,2024-04-20,1,1,AUD-003816-2020;AUD-003816-2021;AUD-003816-2022
000028,2020,李剑光,李远芬,30346686、30346686.0,30583724、30583724.0,陈杰,30430675.0、30545020.0、30579801.0,2020-04-22,0,1,
000028,2021,邓冬梅,李远芬,30372335、30372335.0,30583724、30583724.0,谢枫,30320795.0,2021-07-31,1,0,AUD-600548-2016;AUD-600548-2017;AUD-600548-2018;AUD-601899-2015;AUD-601899-2016;AUD-601899-2017
000028,2022,邓冬梅,吴影,30372335、30372335.0,30682938、30682938.0,谢枫,30320795.0,2022-06-29,1,0,AUD-600548-2016;AUD-600548-2017;AUD-600548-2018;AUD-601899-2015;AUD-601899-2016;AUD-601899-2017
000028,2023,陈耘涛,魏泽,30260384、30260384.0,30726733、30726733.0,孟江峰,,2024-04-08,0,0,
000029,2020,赵娟娟,蒋晓明,30329889、30329889.0,30321342、30321342.0,,,,0,0,
000029,2021,赵娟娟,蒋晓明,30329889、30329889.0,30321342、30321342.0,郭丽娟,30429843.0,2021-07-01,0,1,
000029,2022,赵娟娟,蒋晓明,30329889、30329889.0,30321342、30321342.0,,,,0,1,
000029,2023,王焕森,蔡晓东,30318399、30318399.0,30268347、30268347.0,郭丽娟,30429843.0,2022-10-29,0,1,
000030,2020,张富根,杨志存,3022708、3022708.0,30546915、30546915.0,晁小燕,30263304.0,2020-04-23,0,1,
000030,2021,张富根,杨志存,3022708、3022708.0,30546915、30546915.0,晁小燕,30263304.0,2021-04-29,0,1,
000030,2022,苗策,王桂香,30268109、30268109.0,30429474、30429474.0,晁小燕,30263304.0,2022-04-20,0,0,
000030,2023,苗策,王桂香,30268109、30268109.0,30429474、30429474.0,毕强,30198998.0,2024-04-22,0,1,
000031,2020,张昆,马海霞,30295084、30295084.0,30329750、30329750.0,谭小青,30263524.0,2020-03-31,0,1,
000031,2021,张昆,常景波,30295084、30295084.0,30620129、30620129.0,谭小青,30263524.0,2021-03-27,0,0,
000031,2022,张昆,常景波,30295084、30295084.0,30620129、30620129.0,谭小青,30263524.0,2022-04-28,0,1,
000031,2023,张昆,马海霞,30295084、30295084.0,30329750、30329750.0,谭小青,30263524.0,2023-04-26,0,1,
000032,2020,许培梅,顾欣,30386347、30386347.0,30545207、30545207.0,张松清,30545280.0,2021-01-26,0,1,
000032,2021,许培梅,顾欣,30386347、30386347.0,30545207、30545207.0,石爱红,30429570.0,2022-02-24,0,1,
000032,2022,申海洋,吴兴华,30684082、30684082.0,30286010、30286010.0,王祖诚,30417116.0,2022-12-03,0,0,
000032,2023,申海洋,吴兴华,30684082、30684082.0,30286010、30286010.0,王祖诚,30417116.0,2023-11-23,0,1,
000034,2020,唐炫,唐静,30275424、30275424.0,30362009、30362009.0,,,,0,1,
000034,2021,汪洋,郑小川,30260875、30260875.0,30268168、30268168.0,谭小青,30263524.0,2021-03-31,1,0,AUD-600221-2005;AUD-600221-2006
000034,2022,汪洋,郑小川,30260875、30260875.0,30268168、30268168.0,谭小青,30263524.0,2022-03-29,1,1,AUD-600221-2005;AUD-600221-2006
000034,2023,唐炫,郑小川,30275424、30275424.0,30268168、30268168.0,张吉文,30258171.0,2024-04-27,0,1,
000035,2020,王齐,成雨静,30427987、30427987.0,30618281、30618281.0,王一芳,30268116.0,2020-04-30,0,0,
000035,2021,王齐,司玲玲,30427987、30427987.0,30642473、30642473.0,黎志贤,30683814.0,2021-04-30,0,0,
000035,2022,王齐,司玲玲,30427987、30427987.0,30642473、30642473.0,虞晓钧,30393674.0,2022-03-31,0,1,
000035,2023,成雨静,司玲玲,30618281、30618281.0,30642473、30642473.0,虞晓钧,30393674.0,2024-04-30,1,0,AUD-600688-2010;AUD-600688-2011;AUD-600688-2012
000036,2020,梁粱,李自洪,30428471、30428471.0,30577726、30577726.0,,,,0,0,
000036,2021,梁粱,李自洪,30428471、30428471.0,30577726、30577726.0,,,,0,1,
000036,2022,陈葆华,李自洪,30262914、30262914.0、30429772.0,30577726、30577726.0,,,,0,1,
000036,2023,梁粱,杨拓成,30428471、30428471.0,30725674、30725674.0,,,,0,0,
000037,2020,刘新发,曹玮,30415910、30415910.0,30582135、30582135.0,邓超,,2020-03-20,0,0,
000037,2021,曹玮,刘新发,30582135、30582135.0,30415910、30415910.0,杨铭姝,30269329.0,2021-03-26,0,1,
000037,2022,曹玮,刘新发,30582135、30582135.0,30415910、30415910.0,杨铭姝,30269329.0,2022-03-25,0,1,
000037,2023,曹玮,邹阳,30582135、30582135.0,30731875、30731875.0,杨铭姝,30269329.0,2023-08-25,0,0,
000038,2020,齐正华,王雅栋,30259274、30259274.0,30418001、30418001.0,张聚英,30418013.0,2020-04-23,0,1,
000038,2021,朱洪雄,高洪艳,30319264、30319264.0,30653831、30653831.0,简历袁蓉,,2022-01-21,0,0,
000039,2020,曹翠丽,郭素宏,30296293、30296293.0,30584239、30584239.0,卓志成,,2020-03-27,0,1,
000039,2021,曹翠丽,郭素宏,30296293、30296293.0,30584239、30584239.0,卓志成,,2021-03-30,0,1,
000039,2022,曹翠丽,郭素宏,30296293、30296293.0,30584239、30584239.0,卓志成,,2022-03-29,0,1,
000039,2023,蔡智锋,陈赟,30430114、30430114.0,30726713、30726713.0、30735658.0,黄锋,30360374.0,2024-03-28,0,0,
000040,2020,王雅栋,康利岩,30418001、30418001.0,30418589、30418589.0,李秀华,30418313.0,2020-05-30,0,1,
000040,2021,康利岩,王雅栋,30418589、30418589.0,30418001、30418001.0,王凤岐,30288236.0,2021-04-30,0,1,
000040,2022,康利岩,王雅栋,30418589、30418589.0,30418001、30418001.0,,,,0,1,
000040,2023,康利岩,孟晓光,30418589、30418589.0,30329108、30329108.0,,,,0,0,
000042,2020,李渭华,江其燊,30291654、30291654.0,30418219、30418219.0,干长如,30126322.0,2020-04-28,0,0,
000042,2021,杨誉民,田芬,30381998、30381998.0,30428962、30428962.0,干长如,30126322.0,2021-04-13,0,1,
000042,2022,杨誉民,田芬,30381998、30381998.0,30428962、30428962.0,蔡建斌,30428916.0,2022-04-13,0,1,
000042,2023,田芬,何晨璐,30428962、30428962.0,30739337、30739337.0,蔡建斌,30428916.0,2023-08-18,0,0,
000045,2020,陈志芳,李瑶,30287045、30287045.0,30286862、30286862.0、30412738.0、30654272.0,,,,0,0,
000045,2021,陈志芳,刘多奇,30287045、30287045.0,30365948、30365948.0,李继明,30381468.0,2021-08-28,0,1,
000045,2022,许湘照,姚明,30618438、30618438.0,30682713、30682713.0,,,,0,0,
000045,2023,黄天义,陈俊亨,30423788、30423788.0,30739338、30739338.0,方少帆,30987710.0,2024-03-28,0,0,
000046,2020,李进,郭军,30362038、30362038.0,30619041、30619041.0、30632741.0,,,,0,0,
000046,2021,李进,郭军,30362038、30362038.0,30619041、30619041.0、30632741.0,,,,0,1,
000046,2022,李进,郭军,30362038、30362038.0,30619041、30619041.0、30632741.0,马向军,,2023-01-20,0,1,
000048,2020,薛祈明,施昌臻,30263681、30263681.0,30584004、30584004.0,,,,0,1,
000048,2021,薛祈明,施昌臻,30263681、30263681.0,30584004、30584004.0,王曙晖,30269011.0,2021-03-26,0,1,
000048,2022,薛祈明,周英,30263681、30263681.0,30327859.0、30423363.0、30681992、30681992.0,方建新,3087734.0,2022-03-16,0,0,
000048,2023,薛祈明,周英,30263681、30263681.0,30327859.0、30423363.0、30681992、30681992.0,方建新,3087734.0,2023-08-19,0,1,
000049,2020,赖其寿,赖敦宏,30583237、30583237.0,30428658、30428658.0,胡宏,30428472.0,2020-04-17,0,0,
000049,2021,赖其寿,赖敦宏,30583237、30583237.0,30428658、30428658.0,胡宏,30428472.0,2021-03-23,0,1,
000049,2022,张燕,刘蓓蓓,30260164.0、30373708.0、30417878.0、30429755.0、30544608、30544608.0、30619063.0,30672746、30672746.0,,,,0,0,
000049,2023,张燕,刘蓓蓓,30260164.0、30373708.0、30417878.0、30429755.0、30544608、30544608.0、30619063.0,30672746、30672746.0,胡宏,30428472.0,2023-04-28,0,1,
000050,2020,张伟,赵书曼,30285591、30285591.0、30287580.0、30416634.0、30417351.0、30424023.0、30428111.0、30619534.0、30654277.0、30984603.0、30984738.0,30393509、30393509.0,,,,0,1,
000050,2021,龙娇,黄玉清,30291415、30291415.0,30583484、30583484.0,,,,0,0,
000050,2022,龙娇,欧阳鹏,30291415、30291415.0,30423439、30423439.0,,,,0,0,
000050,2023,龙娇,欧阳鹏,30291415、30291415.0,30423439、30423439.0,,,,0,1,
000055,2020,陈昭新,曾徽,30260770、30260770.0,30555841、30555841.0,,,,0,1,
000055,2021,谢培仁,曾徽,30258278、30258278.0,30555841、30555841.0,,,,0,1,
000055,2022,谢培仁,曾徽,30258278、30258278.0,30555841、30555841.0,,,,0,1,
000055,2023,周俊超,许玉霞,30327997、30327997.0,30583675、30583675.0,,,,0,1,
000056,2020,伍涛,林丹妮,30415051、30415051.0,30547796、30547796.0,韩子荣,3092196.0,2020-04-28,0,0,
000056,2021,伍涛,胡春平,30415051、30415051.0,30429759、30429759.0,王瑜军,30328884.0,2021-01-23,0,0,
000056,2022,孙志军,韩静,30547799、30547799.0,30619320.0、30684919、30684919.0,王瑜军,30328884.0,2022-04-28,0,0,
000056,2023,孙志军,陈启生,30547799、30547799.0,30410812、30410812.0,武宜洛,30417392.0,2024-04-27,0,0,
000058,2020,王焕森,陈艳,30318399、30318399.0,30361161.0、30546140、30546140.0、30546142.0,,,,0,1,
000058,2021,王焕森,陈艳,30318399、30318399.0,30361161.0、30546140、30546140.0、30546142.0,,,,0,1,
000058,2022,王焕森,潘洁霏,30318399、30318399.0,30684258、30684258.0,李正卫,30326939.0,2022-10-28,0,0,
000058,2023,王焕森,潘洁霏,30318399、30318399.0,30684258、30684258.0,,,,0,1,
000059,2020,王君,李志忠,30298815、30298815.0,30546788、30546788.0,,,,0,1,
000059,2021,王君,夏江梅,30298815、30298815.0,30583998、30583998.0,齐春艳,,2020-11-05,0,1,
000059,2022,郑爽,李志忠,30619180、30619180.0,30546788、30546788.0,齐春艳,,2021-10-30,0,1,
000059,2023,申旭,李志忠,30427932、30427932.0,30546788、30546788.0,王军,30418445.0、30428375.0、30428376.0、30640410.0,2023-11-25,0,1,
000060,2020,韩振平,邬夏霏,30427055、30427055.0,30619071、30619071.0,,,,0,0,
000060,2021,韩振平,邬夏霏,30427055、30427055.0,30619071、30619071.0,王兵,30427130.0,2021-03-31,1,1,AUD-002683-2018
000060,2022,吴梓豪,邬夏霏,30427075、30427075.0,30619071、30619071.0,王兵,30427130.0,2022-03-29,1,0,AUD-000833-2021;AUD-002656-2021
000060,2023,吴梓豪,邬夏霏,30427075、30427075.0,30619071、30619071.0,崔松宁,,2024-04-25,0,1,
000061,2020,祁涛,毛彦波,30291292、30291292.0,30391450、30391450.0,,,,0,1,
000061,2021,张帆,毛彦波,30258129.0、30359850、30359850.0、30682355.0、30733274.0,30391450、30391450.0,王首一,30290682.0,2020-10-30,0,0,
000061,2022,张帆,毛彦波,30258129.0、30359850、30359850.0、30682355.0、30733274.0,30391450、30391450.0,王首一,30290682.0,2022-08-30,0,1,
000061,2023,张帆,邸滢,30258129、30258129.0、30359850.0、30682355.0、30733274.0,30545425、30545425.0,高勃,30430735.0,2024-02-06,0,0,
000062,2020,李联,夏姗姗,3072780、3072780.0,30546702、30546702.0,,,,0,1,
000062,2021,李联,夏姗姗,3072780、3072780.0,30546702、30546702.0,,,,0,1,
000062,2022,李联,夏姗姗,3072780、3072780.0,30546702、30546702.0,,,,0,1,
000062,2023,李振华,苏醒,30290050、30290050.0,30653784、30653784.0,,,,0,0,
000063,2020,李剑光,马婧,30346686、30346686.0,30427889、30427889.0、30544311.0,,,,0,0,
000063,2021,李剑光,曾赐花,30346686、30346686.0,30627999、30627999.0,,,,0,0,
000063,2022,李剑光,曾赐花,30346686、30346686.0,30627999、30627999.0,,,,0,1,
000063,2023,李剑光,朱婷,30346686、30346686.0,30427886、30427886.0,,,,0,0,
000065,2020,郑建利,付俊惠,30361252、30361252.0,30620044、30620044.0,,,,0,0,
000065,2021,赵斌,熊宇,30197408、30197408.0、30375726.0,30306323、30306323.0,郭健,30282765.0、30425755.0,2021-08-30,0,0,
000065,2022,安行,熊宇,30416183、30416183.0,30306323、30306323.0,,,,0,1,
000065,2023,安行,熊宇,30416183、30416183.0,30306323、30306323.0,禹正凡,30430115.0,2023-10-31,0,1,
000066,2020,许培梅,顾欣,30386347、30386347.0,30545207、30545207.0,,,,0,1,
000066,2021,许培梅,顾欣,30386347、30386347.0,30545207、30545207.0,张松清,30545280.0,2020-12-03,0,1,
000066,2022,许峰,朱红伟,30334103、30334103.0,30428838、30428838.0,石爱红,30429570.0,2021-12-06,0,1,
000066,2023,张玮,朱红伟,30274363、30274363.0、30425530.0,30428838、30428838.0,冯发明,,2023-12-05,0,1,
000068,2020,张朝铖,秦晓锋,30280842、30280842.0,30618410、30618410.0,包铁军,,2020-04-28,0,0,
000068,2021,谢家伟,秦晓锋,30172244、30172244.0,30618410、30618410.0,,,,0,0,
000068,2022,张磊,薛东升,30304860.0、30329141.0、30417910、30417910.0、30425745.0、30428557.0、30766063.0,30268718、30268718.0,张杰彬,,2022-05-20,0,1,
000068,2023,薛东升,张树刚,30268718、30268718.0,30723717、30723717.0,阎丽明,,2023-11-24,0,0,
000069,2020,罗玉成,詹妙灵,3037546、3037546.0,30545793、30545793.0,邓登峰,30330781.0,2020-04-28,1,1,AUD-603416-2018
000069,2021,廖晓鸿,詹妙灵,30346643、30346643.0,30545793、30545793.0,罗玉成,3037546.0,2021-03-30,1,0,AUD-000069-2019;AUD-000069-2020
000069,2022,廖晓鸿,詹妙灵,30346643、30346643.0,30545793、30545793.0,郭东超,30316224.0,2022-04-27,1,1,AUD-000016-2020
000069,2023,廖晓鸿,詹妙灵,30346643、30346643.0,30545793、30545793.0,郭东超,30316224.0,2024-05-30,1,1,AUD-000016-2020
000070,2020,韩雁光,杨勇,30280863、30280863.0,30337684.0、30428560、30428560.0、30429338.0,,,,0,1,
000070,2021,韩雁光,杨勇,30280863、30280863.0,30337684.0、30428560、30428560.0、30429338.0,王皓东,30644338.0,2020-10-29,0,1,
000070,2022,韩雁光,杨勇,30280863、30280863.0,30337684.0、30428560、30428560.0、30429338.0,王皓东,30644338.0,2021-11-09,0,1,
000070,2023,韩雁光,胡耀新,30280863、30280863.0,30726335、30726335.0,王皓东,30644338.0,2023-12-09,0,0,
000078,2020,陈志芳,刘多奇,30287045、30287045.0,30365948、30365948.0,,,,0,1,
000078,2021,陈志芳,刘多奇,30287045、30287045.0,30365948、30365948.0,,,,0,1,
000078,2022,陈志芳,刘多奇,30287045、30287045.0,30365948、30365948.0,,,,0,1,
000078,2023,吴亮,雷兵,30547047、30547047.0,30429902、30429902.0,,,,0,0,
000088,2020,黎明,何小兵,30264277、30264277.0,30619173、30619173.0,,,,0,0,
000088,2021,黎明,何小兵,30264277、30264277.0,30619173、30619173.0,王皓东,30644338.0,2021-10-28,0,1,
000088,2022,黎明,何小兵,30264277、30264277.0,30619173、30619173.0,王皓东,30644338.0,2022-10-10,0,1,
000088,2023,黎明,何小兵,30264277、30264277.0,30619173、30619173.0,王皓东,30644338.0,2023-11-28,0,1,
000089,2020,黎明,谢俊英,30264277、30264277.0,30546785、30546785.0,王皓东,30644338.0,2020-03-28,0,1,
000089,2021,黎明,谢俊英,30264277、30264277.0,30546785、30546785.0,王皓东,30644338.0,2021-04-02,0,1,
000089,2022,黎明,谢俊英,30264277、30264277.0,30546785、30546785.0,王皓东,30644338.0,2022-04-09,0,1,
000089,2023,陈链武,张莉萍,30429771、30429771.0,30304119、30304119.0,谭代明,,2024-05-23,0,0,
000090,2020,李联,夏姗姗,3072780、3072780.0,30546702、30546702.0,,,,0,1,
000090,2021,李联,夏姗姗,3072780、3072780.0,30546702、30546702.0,楼胜亚,,2021-04-13,0,1,
000090,2022,陈子涵,钟钦方,30341372、30341372.0,30653440、30653440.0,王皓东,30644338.0,2022-08-16,0,1,
000090,2023,陈子涵,龙秀文,30341372、30341372.0,30423110、30423110.0,周睿,30317406.0,2024-04-17,0,0,
000096,2020,王季民,胡春平,30378711、30378711.0,30429759、30429759.0,,,,0,0,
000096,2021,王季民,胡春平,30378711、30378711.0,30429759、30429759.0,,,,0,1,
000096,2022,王季民,胡春平,30378711、30378711.0,30429759、30429759.0,,,,0,1,
000096,2023,胡春平,黄燕,30429759、30429759.0,30571142.0、30740422、30740422.0,欧阳春竹,30371457.0,2024-04-30,0,0,
000099,2020,陈建翔,陈莦燕,30330820、30330820.0,30545450、30545450.0,,,,0,1,
000099,2021,潘传云,李颖,30296288、30296288.0,30416687.0、30425273.0、30429546.0、30429550、30429550.0,詹军,30258194.0,2021-12-08,0,1,
000099,2022,潘传云,李颖,30296288、30296288.0,30416687.0、30425273.0、30429546.0、30429550、30429550.0,詹军,30258194.0,2022-10-28,0,1,
000099,2023,潘传云,李颖,30296288、30296288.0,30416687.0、30425273.0、30429546.0、30429550、30429550.0,詹军,30258194.0,2024-02-07,0,1,
000100,2020,邱俊洲,江先敏,30262814、30262814.0,30544812、30544812.0,包铁军,,2020-03-31,0,1,
000100,2021,邱俊洲,江先敏,30262814、30262814.0,30544812、30544812.0,包铁军,,2021-03-11,0,1,
000100,2022,江先敏,熊欣,30544812、30544812.0,30682448、30682448.0,包铁军,,2022-04-28,0,0,
000100,2023,江先敏,熊欣,30544812、30544812.0,30682448、30682448.0,汤孟强,30334045.0,2023-03-31,0,1,
000150,2020,李俊杰,梁静,30619016、30619016.0,30425198、30425198.0,史春生,,2020-04-30,0,1,
000150,2021,李讯,余自勇,30584118、30584118.0,30653830、30653830.0,刘楠园,,2021-04-27,0,0,
000150,2022,王田,邱淑珍,30654004、30654004.0,30291235、30291235.0,张丽丹,,2022-12-15,0,0,
000151,2020,刘均刚,杨美玲,30279943、30279943.0,30430747、30430747.0,,,,0,0,
000151,2021,王克东,赵永华,30259918、30259918.0,30417098、30417098.0,武晓景,30416981.0,2022-04-23,0,1,
000151,2022,王克东,赵永华,30259918、30259918.0,30417098、30417098.0,,,,0,1,
